Date,Action,Price,Target_Price,Stoploss_Price,Trade_Result
200,Buy,172.1,175.542,171.2395,Bought
201,Sell,166.75,175.542,171.2395,Stoploss Hit
202,Buy,171.75,175.185,170.89124999999999,Bought
203,Sell,169.05,175.185,170.89124999999999,Stoploss Hit
204,Buy,170.0,173.4,169.15,Bought
205,Sell,175.0,173.4,169.15,Target Hit
206,Buy,175.6,179.112,174.72199999999998,Bought
207,Sell,168.5,179.112,174.72199999999998,Stoploss Hit
208,Buy,164.45,167.739,163.62775,Bought
211,Sell,160.25,167.739,163.62775,Stoploss Hit
212,Buy,162.15,165.393,161.33925,Bought
213,Sell,160.85,165.393,161.33925,Stoploss Hit
214,Buy,162.85,166.107,162.03575,Bought
215,Sell,161.45,166.107,162.03575,Stoploss Hit
216,Buy,162.1,165.34199999999998,161.2895,Bought
217,Sell,160.15,165.34199999999998,161.2895,Stoploss Hit
218,Buy,161.0,164.22,160.195,Bought
219,Sell,158.5,164.22,160.195,Stoploss Hit
220,Buy,157.35,160.49699999999999,156.56324999999998,Bought
223,Sell,169.9,160.49699999999999,156.56324999999998,Target Hit
224,Buy,165.0,168.3,164.175,Bought
226,Sell,162.75,168.3,164.175,Stoploss Hit
227,Buy,157.4,160.548,156.613,Bought
228,Sell,150.55,160.548,156.613,Stoploss Hit
229,Buy,152.9,155.958,152.1355,Bought
230,Sell,143.15,155.958,152.1355,Stoploss Hit
231,Buy,151.9,154.93800000000002,151.1405,Bought
232,Sell,156.1,154.93800000000002,151.1405,Target Hit
233,Buy,156.0,159.12,155.22,Bought
237,Sell,160.2,159.12,155.22,Target Hit
238,Buy,159.25,162.435,158.45374999999999,Bought
245,Sell,157.25,162.435,158.45374999999999,Stoploss Hit
246,Buy,154.85,157.947,154.07575,Bought
247,Sell,152.5,157.947,154.07575,Stoploss Hit
248,Buy,152.55,155.60100000000003,151.78725,Bought
249,Sell,151.25,155.60100000000003,151.78725,Stoploss Hit
250,Buy,153.45,156.51899999999998,152.68275,Bought
251,Sell,149.35,156.51899999999998,152.68275,Stoploss Hit
252,Buy,151.1,154.12199999999999,150.34449999999998,Bought
254,Sell,148.35,154.12199999999999,150.34449999999998,Stoploss Hit
255,Buy,148.65,151.62300000000002,147.90675000000002,Bought
258,Sell,146.75,151.62300000000002,147.90675000000002,Stoploss Hit
259,Buy,145.95,148.869,145.22025,Bought
261,Sell,143.0,148.869,145.22025,Stoploss Hit
262,Buy,142.55,145.401,141.83725,Bought
263,Sell,137.35,145.401,141.83725,Stoploss Hit
264,Buy,136.4,139.12800000000001,135.71800000000002,Bought
265,Sell,140.8,139.12800000000001,135.71800000000002,Target Hit
266,Buy,139.9,142.698,139.2005,Bought
267,Sell,137.15,142.698,139.2005,Stoploss Hit
268,Buy,143.0,145.86,142.285,Bought
269,Sell,123.1,145.86,142.285,Stoploss Hit
270,Buy,124.25,126.735,123.62875,Bought
271,Sell,122.9,126.735,123.62875,Stoploss Hit
272,Buy,123.95,126.429,123.33025,Bought
274,Sell,118.2,126.429,123.33025,Stoploss Hit
275,Buy,116.95,119.289,116.36525,Bought
276,Sell,119.55,119.289,116.36525,Target Hit
277,Buy,118.1,120.462,117.50949999999999,Bought
279,Sell,117.5,120.462,117.50949999999999,Stoploss Hit
280,Buy,118.25,120.61500000000001,117.65875,Bought
283,Sell,128.05,120.61500000000001,117.65875,Target Hit
284,Buy,132.0,134.64000000000001,131.34,Bought
287,Sell,128.85,134.64000000000001,131.34,Stoploss Hit
288,Buy,133.85,136.527,133.18075,Bought
289,Sell,141.8,136.527,133.18075,Target Hit
290,Buy,139.25,142.035,138.55375,Bought
291,Sell,136.9,142.035,138.55375,Stoploss Hit
292,Buy,138.2,140.964,137.509,Bought
294,Sell,148.4,140.964,137.509,Target Hit
295,Buy,147.35,150.297,146.61325,Bought
296,Sell,145.55,150.297,146.61325,Stoploss Hit
297,Buy,141.85,144.68699999999998,141.14075,Bought
300,Sell,139.45,144.68699999999998,141.14075,Stoploss Hit
301,Buy,138.25,141.01500000000001,137.55875,Bought
302,Sell,134.35,141.01500000000001,137.55875,Stoploss Hit
303,Buy,138.3,141.066,137.60850000000002,Bought
304,Sell,137.5,141.066,137.60850000000002,Stoploss Hit
305,Buy,137.8,140.556,137.11100000000002,Bought
306,Sell,146.75,140.556,137.11100000000002,Target Hit
307,Buy,151.45,154.47899999999998,150.69275,Bought
309,Sell,147.55,154.47899999999998,150.69275,Stoploss Hit
310,Buy,147.5,150.45,146.7625,Bought
312,Sell,141.95,150.45,146.7625,Stoploss Hit
313,Buy,146.0,148.92000000000002,145.27,Bought
314,Sell,142.85,148.92000000000002,145.27,Stoploss Hit
315,Buy,141.0,143.82,140.295,Bought
319,Sell,138.6,143.82,140.295,Stoploss Hit
320,Buy,135.15,137.853,134.47425,Bought
321,Sell,132.5,137.853,134.47425,Stoploss Hit
322,Buy,136.15,138.87300000000002,135.46925000000002,Bought
323,Sell,134.75,138.87300000000002,135.46925000000002,Stoploss Hit
324,Buy,131.4,134.02800000000002,130.743,Bought
325,Sell,127.05,134.02800000000002,130.743,Stoploss Hit
326,Buy,126.65,129.18300000000002,126.01675,Bought
328,Sell,125.6,129.18300000000002,126.01675,Stoploss Hit
329,Buy,122.35,124.797,121.73825,Bought
330,Sell,120.9,124.797,121.73825,Stoploss Hit
342,Buy,156.4,159.52800000000002,155.618,Bought
345,Sell,155.15,159.52800000000002,155.618,Stoploss Hit
346,Buy,158.1,161.262,157.30949999999999,Bought
347,Sell,154.75,161.262,157.30949999999999,Stoploss Hit
348,Buy,159.05,162.23100000000002,158.25475,Bought
349,Sell,157.6,162.23100000000002,158.25475,Stoploss Hit
350,Buy,153.15,156.21300000000002,152.38425,Bought
351,Sell,151.35,156.21300000000002,152.38425,Stoploss Hit
352,Buy,149.95,152.94899999999998,149.20024999999998,Bought
353,Sell,153.6,152.94899999999998,149.20024999999998,Target Hit
354,Buy,153.2,156.26399999999998,152.434,Bought
357,Sell,147.9,156.26399999999998,152.434,Stoploss Hit
358,Buy,147.95,150.909,147.21025,Bought
359,Sell,142.8,150.909,147.21025,Stoploss Hit
360,Buy,148.45,151.41899999999998,147.70774999999998,Bought
361,Sell,146.8,151.41899999999998,147.70774999999998,Stoploss Hit
362,Buy,147.75,150.705,147.01125,Bought
363,Sell,150.85,150.705,147.01125,Target Hit
364,Buy,153.8,156.876,153.031,Bought
365,Sell,152.85,156.876,153.031,Stoploss Hit
